x,y,z,E,C,R,A,Memoire
7,1,4,0.960001,0,0.816377,40,1
8,1,4,0.960001,0,0.755224,40,1
1,2,4,0.960001,0,0.666928,40,1
2,2,4,0.960001,0,0.392413,40,0.999
5,2,4,0.960001,0,0.698036,40,0.999
6,2,4,0.960001,0,0.71892,40,0.992
0,3,4,0.960001,0,0.780582,40,0.999
1,3,4,0.960001,0,0.726915,40,1
2,3,4,0.960001,0,0.540983,40,1
3,3,4,0.960001,0,0.131285,40,1
4,3,4,0.960001,0,0.394738,40,0.999
5,3,4,0.960001,0,0.147227,40,1
1,4,4,0.960001,0,0.192765,40,0.999
2,4,4,0.960001,0,0.752108,40,1
1,5,4,0.960001,0,0.214881,40,1
0,0,5,0.960001,0,0.313311,40,1
1,0,5,0.960001,0,0.256275,40,1
2,0,5,0.960001,0,0.207853,40,1
3,0,5,0.960001,0,0.406872,40,1
4,0,5,0.960001,0,0.607361,40,1
5,0,5,0.960001,0,0.435877,40,0.999
6,0,5,0.960001,0,0.475409,40,1
7,0,5,0.960001,0,0.37309,40,1
8,0,5,0.960001,0,0.784113,40,0.998
10,0,5,0.960001,0,0.734735,40,0.999
0,1,5,0.960001,0,0.586494,40,0.999
1,1,5,0.960001,0,0.839994,40,1
2,1,5,0.960001,0,0.665897,40,0.999
3,1,5,0.960001,0,0.850672,40,1
4,1,5,0.960001,0,0.896736,40,0.999
5,1,5,0.960001,0,0.631269,40,1
6,1,5,0.960001,0,0.30721,40,0.998
7,1,5,0.960001,0,0.884544,40,1
8,1,5,0.960001,0,0.401708,40,0.999
9,1,5,0.960001,0,0.461478,40,0.999
10,1,5,0.960001,0,0.677109,40,0.999
0,2,5,0.960001,0,0.824675,40,1
1,2,5,0.960001,0,0.624946,40,0.999
2,2,5,0.960001,0,0.343866,40,1
3,2,5,0.960001,0,0.671691,40,1
4,2,5,0.960001,0,0.46833,40,1
5,2,5,0.960001,0,0.867749,40,1
6,2,5,0.960001,0,0.247192,40,1
0,3,5,0.960001,0,0.497221,40,1
1,3,5,0.960001,0,0.129419,40,1
2,3,5,0.960001,0,0.491996,40,1
3,3,5,0.960001,0,0.887021,40,1
4,3,5,0.960001,0,0.155575,40,0.999
5,3,5,0.960001,0,0.444229,40,1
6,3,5,0.960001,0,0.80848,40,1
0,4,5,0.960001,0,0.159908,40,0.997
1,4,5,0.960001,0,0.829002,40,1
2,4,5,0.960001,0,0.264194,40,0.999
3,4,5,0.960001,0,0.862639,40,0.999
0,5,5,0.960001,0,0.647255,40,0.998
1,5,5,0.960001,0,0.195112,40,1
0,0,6,0.960001,0,0.12983,40,1
2,0,6,0.960001,0,0.581916,40,1
4,0,6,0.960001,0,0.567803,40,1
5,0,6,0.960001,0,0.585544,40,1
0,1,6,0.960001,0,0.816756,40,0.999
1,1,6,0.960001,0,0.404367,40,1
3,1,6,0.960001,0,0.373148,40,1
4,1,6,0.960001,0,0.322157,40,0.999
0,2,6,0.960001,0,0.347498,40,1
2,2,6,0.960001,0,0.19064,40,1
3,2,6,0.960001,0,0.759814,40,1
0,3,6,0.960001,0,0.662954,40,0.999
0,0,7,0.960001,0,0.755637,40,1
1,0,7,0.960001,0,0.724949,40,1
2,0,7,0.960001,0,0.560477,40,0.999
3,0,7,0.960001,0,0.675722,40,0.998
4,0,7,0.960001,0,0.390434,40,0.999
5,0,7,0.960001,0,0.795489,40,1
6,0,7,0.960001,0,0.55596,40,1
0,1,7,0.960001,0,0.155939,40,1
1,1,7,0.960001,0,0.777785,40,1
2,1,7,0.960001,0,0.154957,40,1
3,1,7,0.960001,0,0.553079,40,1
4,1,7,0.960001,0,0.159046,40,1
5,1,7,0.960001,0,0.39124,40,1
6,1,7,0.960001,0,0.879022,40,1
0,2,7,0.960001,0,0.298726,40,0.999
1,2,7,0.960001,0,0.773667,40,1
2,2,7,0.960001,0,0.241679,40,0.999
3,2,7,0.960001,0,0.647067,40,1
0,3,7,0.960001,0,0.274554,40,0.999
1,3,7,0.960001,0,0.345442,40,1
2,3,7,0.960001,0,0.737751,40,0.999
0,0,8,0.960001,0,0.69889,40,0.999
3,0,8,0.960001,0,0.162756,40,0.999
0,0,9,0.960001,0,0.552451,40,1
1,0,9,0.960001,0,0.346274,40,0.999
0,1,9,0.960001,0,0.606933,40,0.999
1,1,9,0.960001,0,0.628029,40,0.999
2,1,9,0.960001,0,0.319949,40,1
